sid,name,ticker,type,slug,isin
SAGP,Sagardeep Alloys Ltd,SAGARDEEP,stock,/stocks/sagardeep-alloys-SAGP,INE976T01013
SNWR,Sanwaria Consumer Ltd,SANWARIA,stock,/stocks/sanwaria-consumer-SNWR,INE890C01046
SARE,Saregama India Ltd,SAREGAMA,stock,/stocks/saregama-india-SARE,INE979A01025
SEIN,Schneider Electric Infrastructure Ltd,SCHNEIDER,stock,/stocks/schneider-electric-infrastructure-SEIN,INE839M01018
SBTV,Sri Adhikari Brothers Television Network Ltd,SABTNL,stock,/stocks/sri-adhikari-brothers-television-network-SBTV,INE416A01044
SRES,Shree Renuka Sugars Ltd,RENUKA,stock,/stocks/shree-renuka-sugars-SRES,INE087H01022
SALS,SAL Steel Ltd,SALSTEEL,stock,/stocks/s-a-l-steel-SALS,INE658G01014
SKCT,Sasken Technologies Ltd,SASKEN,stock,/stocks/sasken-technologies-SKCT,INE231F01020
SATD,Satia Industries Ltd,SATIA,stock,/stocks/satia-industries-SATD,INE170E01023
SBI,State Bank of India,SBIN,stock,/stocks/state-bank-of-india-SBI,INE062A01020
SHCR,Sharda Cropchem Ltd,SHARDACROP,stock,/stocks/sharda-cropchem-SHCR,INE221J01015
SIEM,Siemens Ltd,SIEMENS,stock,/stocks/siemens-SIEM,INE003A01024
SMAT,Smartlink Holdings Ltd,SMARTLINK,stock,/stocks/smartlink-holdings-SMAT,INE178C01020
SPML,SPML Infra Ltd,SPMLINFRA,stock,/stocks/spml-infra-SPML,INE937A01023
STTE,Sterlite Technologies Ltd,STLTECH,stock,/stocks/sterlite-technologies-STTE,INE089C01029
SANG,Sangam (India) Ltd,SANGAMIND,stock,/stocks/sangam-india-SANG,INE495C01010
SALR,Salasar Exteriors & Contour Ltd,SECL,stock,/stocks/salasar-exteriors-and-contour-SALR,INE00Y701026
SHEM,Shemaroo Entertainment Ltd,SHEMAROO,stock,/stocks/shemaroo-entertainment-SHEM,INE363M01019
SHMT,Shyam Telecom Ltd,SHYAMTEL,stock,/stocks/shyam-telecom-SHMT,INE635A01023
SINE,Sintercom India Ltd,SINTERCOM,stock,/stocks/sintercom-india-SINE,INE129Z01016
SIYR,Siyaram Silk Mills Ltd,SIYSIL,stock,/stocks/siyaram-silk-mills-SIYR,INE076B01028
SJVN,SJVN Ltd,SJVN,stock,/stocks/sjvn-SJVN,INE002L01015
SNOW,Snowman Logistics Ltd,SNOWMAN,stock,/stocks/snowman-logistics-SNOW,INE734N01019
SPAD,Spandana Sphoorty Financial Ltd,SPANDANA,stock,/stocks/spandana-sphoorty-financial-SPAD,INE572J01011
SAIL,Steel Authority of India Ltd,SAIL,stock,/stocks/steel-authority-of-india-SAIL,INE114A01011
SKFN,Sakthi Finance Ltd,SAKTHIFIN,stock,/stocks/sakthi-finance-SKFN,INE302E01014
SNDH,Sandesh Ltd,SANDESH,stock,/stocks/sandesh-SNDH,INE583B01015
SHME,Shilpa Medicare Ltd,SHILPAMED,stock,/stocks/shilpa-medicare-SHME,INE790G01031
SHVU,Shiv Aum Steels Ltd,SHIVAUM,stock,/stocks/shiv-aum-steels-SHVU,INE719F01016
SRDC,Shree Digvijay Cement Co Ltd,SHREDIGCEM,stock,/stocks/shree-digvijay-cement-co-SRDC,INE232A01011
SPCH,Shree Pushkar Chemicals & Fertilisers Ltd,SHREEPUSHK,stock,/stocks/shree-pushkar-chemicals-and-fertilisers-SPCH,INE712K01011
SMBH,Sambhaav Media Ltd,SAMBHAAV,stock,/stocks/sambhaav-media-SMBH,INE699B01027
SELM,Sel Manufacturing Company Ltd,SELMC,stock,/stocks/sel-manufacturing-company-SELM,INE105I01020
SHAY,Shalby Ltd,SHALBY,stock,/stocks/shalby-SHAY,INE597J01018
STDI,Standard Industries Ltd,SIL,stock,/stocks/standard-industries-STDI,INE173A01025
SIMB,Simbhaoli Sugars Ltd,SIMBHALS,stock,/stocks/simbhaoli-sugars-SIMB,INE748T01016
SABV,Sab Events & Governance Now Media Ltd,SABEVENTS,stock,/stocks/sab-events-and-governance-now-media-SABV,INE860T01019
SADB,Sadbhav Infrastructure Projects Ltd,SADBHIN,stock,/stocks/sadbhav-infrastructure-projects-SADB,INE764L01010
SALI,Salora International Ltd,SALORAINTL,stock,/stocks/salora-international-SALI,INE924A01013
SNGN,Sanginita Chemicals Ltd,SANGINITA,stock,/stocks/sanginita-chemicals-SNGN,INE753W01010
SARL,Sarla Performance Fibers Ltd,SARLAPOLY,stock,/stocks/sarla-performance-fibers-SARL,INE453D01025
